Location,BurritoType,Date,Neighborhood,Address,Yelp,Google,Chips,Cost
Taco Stand,California,2/12/2016,La Jolla,621 Pearl St,4.5,4.4,,7.49
Lola's 7 Up Market & Deli,Shredded beef,2/29/2016,Carlsbad,3292 Roosevelt St,4.5,4.9,,6
Cancun Mexican & Seafood,California,3/20/2016,Encinitas,1766 N Coast Hwy,4.5,4.1,x,6.99
Mikes Taco Club,California,3/23/2016,Ocean Beach,5060 Newport Ave,4.5,4.9,,8.59
La Perla Cocina,Addiction,3/30/2016,Pacific Beach,745 Emerald St,4.5,4.7,,7.99
California Burritos,California Everything,4/15/2016,Linda Vista,7754 Starling Dr,4.5,4.4,x,6.25
Mi Asador Mexican & Seafood ,California ,4/27/2016,Oceanside,4750 Oceanside Blvd,4.5,4.4,x,6.89
Sotos Mexican Food,California,5/4/2016,Miramar ,6904 Miramar Rd,4.5,4.6,x,6.75
Netos Mexican Food,California ,5/26/2016,San Marcos,325 S Rancho Santa Fe Rd,4.5,4.1,x,5.99
El Dorado Mexican Food,California,6/16/2016,Temecula,29000 Old Town Front St,4.5,4,,6.94
Tacos La Bala,Pastor,9/5/2016,Houston,5800 Bellaire Blvd,4.5,4.1,,4.99
La Morena Taco Shop and Seafood,California,9/22/2016,Webster,5059 Federal Blvd,4.5,4.7,,6.35
Matador Mexican Food,Carnitas,10/2/2016,Morena,5201 Linda Vista Rd,4.5,4,X,6.6
Famoso Mexican Street Food,Cali Diablo,11/14/2016,Downtown,815 C St,4.5,3.9,,10.5
Mister Falafel,Chicken Shawarma,12/15/2016,Clairemont,4461 Clairemont Mesa Blvd,4.5,4.6,,6.99
Los Tacos 2,Al pastor tradicional ,5/13/2017,Oceanside,3480 Marron Rd,4.5,5,,8.25
Burrito Factory,Steak everything ,7/13/2017,Austin,2025 Guadalupe St,4.5,4.8,,7.35
Cortez Mexican Food,California ,10/7/2016,Bonsall,5517 Mission Rd,4.2,4,,6.25
Pollos Maria,California,1/27/2016,Carlsbad,3055 Harding St,4,3.8,x,6.59
JV's Mexican Food,Carne Asada,2/6/2016,Morena,1112 Morena Blvd,4,4.1,,6.25
Graciela's Taco Shop,Adobada ,2/14/2016,Bonita,5047 Central Ave,4,4.5,,5.99
